id,subject,body,t1_final,t2_final
37411,eBay Mobile 5.2.0 iOS 9.3.5 - GR,"
hello i bought yesterday a laptop that i paid today 222euros with the shipping and ebay international import charges
and today the seller refund 160 euros!
what can i do for not loosing 60 euros?
Device: iPhone (iPhone7,1)
OS: 9.3.5
App Version: 5.2.0
User ID: mickten7@yahoo.com
eBay Site: Greece
",Specialty,Logistics - CCR
37412,,"Hi i can provide you with details; name:Ivana Kutišová,adress: Košická
street number 52/16, postal code: 10100, city: Prague 10 , Czech republic.
Please let me know, if you need more details. Thank you.
Dňa 6.10.2016 14:50 používateľ <customerhelp_uk@ebay.com> napísal:

> [image: eBay]
> Your Action Required Regarding eBay Item #: 262579012188, Tracking
> 7697932104 SR# 1-88231464412
>
>
> Hello iva_amelia (iva.cerulikova@gmail.com),
>
>
>
> I’m emailing you from eBay’s Global Shipping Programme Department
> regarding Item # 262579012188
>
>
>
> DHL have informed us that they require further information to deliver your
> parcel. Tracking details below.
>
>
>
> Please contact DHL directly or provide us with Valid contact details to
> arrange delivery or collection of your item.
>
>
>
> Tracking# 7697932104
>
>
>
> DHL tracking site: http://www.dhl.co.uk/en/express/tracking.html
>
>
>
> If you fail to contact DHL within the next 24 hours, the item may be
> returned back to the shipping center and you will be without your item.
>
>
>
> We sincerely appreciate your attention to the matter. We are trying our
> best to get the item to you but we need your help.
>
>
>
> If the item has already been delivered, please ignore this message.
>
>
>
> Kind regards
>
> eBay Logistics Support
>
> [THREAD ID: 1-88231464412]
>
>
> eBay Do",Specialty,Logistics - CCR
37413,"GS=CU0830 | Escalating claim to CS, I didn't receive an item I paid for [#US ?01 ]",eBP Automation Request,M2M Escalation,Buyer Protect High ASP Claim
37414,"GS=CU1193 | Escalating claim to CS, I received an item that is not as described [#US $MO 100771T A6",eBP Automation Request,M2M Escalation,Buyer Protect High ASP Claim
37415,,"Hi,

Can you tell what the item is please? I can no longer find it on my page. 

Thanks.


Jonathan Beaumont
Broadcaster / Producer / Journalist

Tel: +44 (0) 7970 771 654
www.jonathanbeaumont.com <http://www.jonathanbeaumont.com/>

















> On 6 Oct 2016, at 10:44, customerhelp_uk@ebay.com wrote:
> 
> 
> Your Action Required Regarding eBay Item #: 152221762106 SR# 1-88212569270
> 
> 
> Hello johnnyboy3869 (jonathan.beaumont@me.com <mailto:jonathan.beaumont@me.com>),
> 
> We are contacting you in regards to item 152221762106. This item was received at our shipping facility, however as the shipping payment was reversed, we returned the item to your address as it cannot be shipped forward to the buyer. On this occasion, we returned the item to your address, however the item was returned back to us as undeliverable. 
>  
> The address we could not deliver to was:
>  
> Flat 2
> 116 Bermondsey Street
> London
> London
> SE1 3TX
> Great Britain
>  
> Please respond this email with an address we can return the item to, or alternatively we can dispose of the item for you if you wish. 
>  
> We apologize for this inconvenience but want to thank you in advance for your patience and cooperation. 
>  
> Many thanks,
>  
> Gary
> eBay Global Shipping Team
> [THREAD ID: 1-88212569270]
> 
> 
> 
> eBay Document ID: 376506100",Specialty,Logistics - CCR
37416,Policy General,"Formofoss veien 660
7870 Grong

6. okt. 2016 02:06 skrev <customerhelp@ebay.co.uk>:

> [image: eBay]
> eBay item undeliverable to your address - SR# 1-88173766361
>
>
> Hello birgerjpedersen,
>
> We're having trouble delivering your order of eBay item 232003553043 from
> carpartsinmotion (ORA: A1566008719NO). This is usually caused by an
> incomplete or unrecognized address or phone number.
>
> Please review the delivery address and phone number. The address we tried
> to deliver to is Gamle Trafikk Stasjon ,,Formofoss ,,7870,Norway.  The
> phone number is 45226060.
>
> If these details are incorrect, please edit them here:
> http://payments.ebay.com/ws/eBayISAPI.dll?UserAddresses&cmd=standalone
>
> Note: We can't ship to an address in a different country than originally
> listed. Also, we don’t ship to PO Boxes or Packstations.
>
> --You don't need to contact us once you've updated the address.--
>
> If the shipping address and phone number are correct, let us know by
> replying to this email.
>
> We'll hold your item for 7 days while we wait for your updated address. If
> we haven't heard from you by then, we'll dispose of your item. We don't
> return undeliverable items to sellers. Once you've received your item,
> please contact your seller for instructions if you'd like to return it.
>
> Reshipment takes approximately 14 to 21 days. If th",Specialty,Logistics - CCR
37417,Handling returns from buyers,"Sent:	2016-10-06 04:00:27.0

Subject:	Handling returns from buyers

Enter your question / concern:	Hi. I bought eternity ring from seller klp92, item nr 162207090064. Yesterday I collected myself. I wanted return but he doesn't want it.He says only if buy very expensive ring like 2,4 ct then he will take it back and the value of the ring will be very low than I bought from him. Even I offered 160£ for delivery cost. Can u help me,plz",M2M Escalation,Buyer Protect High ASP Claim
37418,,"Thanks for the info. I'd also like to provide photos of 2 of the chests we have here to serve as reference. Please let me know how to do that.

Sent from my iPhone

> On Oct 6, 2016, at 10:31 PM, highvalueclaimsinfo@ebay.com wrote:
> 
> 
> Important Case (5114938101) Update from eBay customer support SR# 1-88297236503
> 
> 
> Hello Amanda,
>  
> We are following up with you today in regards to the Belvedere Chest Virginia Classics Mahogany 2 Drawers Green-Gray Hand-Brushed (eBay item: 191931025677) you recently sold. We understand that your customer has opened a case because the Belvedere Chest Virginia Classics Mahogany 2 Drawers Green-Gray Hand-Brushed the item is not the same color as described and it has damage to the top.We understand the frustration you’ve experienced during this transaction and apologize for the inconvenience this has caused. We want to work with you to ensure that this issue is resolved in a timely manner.
>  
>  
>  
> Because of the nature of the complaint, we'd like to have as much information as possible to make sure we make an appropriate decision. We have put the case on hold until 10/9/2016 to allow your buyer time to provide the additional documentation we requested.
>  
> We have asked your buyer to provide photos of the item they received so we can better understand the issue.
>  
> If the documentation is provided, we will",M2M Escalation,Buyer Protect High ASP Claim
37419,Re: Important Case (5114750701) Update: Your Action Required SR# 1-87309495802,"I asked to IWC ( manufcturer of this watch) whether it is authenic or
counterfeit. I received documentation from the manufacturer, that this item
is not an authentic piece manufactured by IWC Schaffhausen.[image: 본문 이미지 1]

2016-10-02 8:10 GMT+09:00 <highvalueclaimsinfo@ebay.com>:

> [image: eBay]
> Important Case (5114750701) Update: Your Action Required SR# 1-87309495802
>
>
> Hello Yunna,
>
>
>
> We are contacting you today about the Portuguese Chronograph (eBay item:
> 162198792090) that you recently purchased.  I’m sorry to hear that you’ve
> opened a claim because the watch is counterfeit. We know these types of
> situations can be stressful. We want to work together with you to resolve
> this issue on both sides.
>
>
>
> We also appreciate your patience while we respond to your email. We have
> had a recent influx of emails, and since each one is answered personally it
> has taken us some time to reply to everyone.
>
>
>
> In order to have this case resolved, we ask that you provide us with
> documentation to support your claim.  We have placed this claim on hold
> until 10/6/2016 for this to be completed.
>
>
>
> We need documentation from the manufacturer or from a credible third party
> which clearly describes how the item you received differs from an authentic
> item, and how the person evaluating the item determined that it isn't
",M2M Escalation,Buyer Protect High ASP Claim
37420,,"The package was refused and customer will receive them back. This was
closed through eBay after being open for a month with no return from the
customer. As soon as the case was closed customer tried to send the items
back but we refused the package so it is on its way back to the customer.

Please advise,
Tom McCray
Tech Time 23

On Oct 5, 2016 11:59 AM, <highvalueclaimsinfo@ebay.com> wrote:

> [image: eBay]
> 5114693617 SR# 1-88152713700
>
>
> Hello Thomas,
>
>
>
> I wanted to reach out to you today to let you know that your buyer
> kamranbek has sent the items (182259553823) back to you. Your buyer has
> asked us to contact you to please work with them in refunding the
> transaction.
>
>
>
> Thanks,
>
> Travis T
>
> eBay Customer Service
>
> [THREAD ID: 1-88152713700]
>
>
> eBay Document ID: 37622344008
>
> eBay is committed to your privacy. Read our user agreement
> <http://pages.ebay.com/help/policies/user-agreement.html> and privacy
> notice <http://pages.ebay.com/help/policies/privacy-policy.html>. Learn
> how to recognize fake (spoof) emails
> <http://pages.ebay.com/help/account/recognizing-spoof.html>.
>
> Copyright © 2016 eBay Inc. All Rights Reserved. Designated trademarks and
> brands are the property of their respective owners. eBay and the eBay logo
> are trademarks of eBay Inc., 2145 Hamilton Avenue, San Jose, CA 95125.",M2M Escalation,Buyer Protect High ASP Claim
37421,RE: eBay VeRO Program - NOCI Received - More Information Requested,"Good morning, 

All of these people are drop shipping from our Amazon stock, and do not hold
the stock, or have permission to use our pictures, or to sell our products
on ebay. 

Kind regards, 
Lucy


-----Original Message-----
From: vero@ebay.com [mailto:vero@ebay.com] 
Sent: 04 October 2016 16:46
To: ebay@shewee.com
Subject: eBay VeRO Program - NOCI Received - More Information Requested

Hello, 

Thank you for contacting the VeRO Program.

We reviewed the Notice of Claimed Infringement you sent us today and the
items you identified.  

luxurydiscountwarehouse
172266567006
172266566030

marketingreactordeals
282192463346

michigancolor
291761126170

ricmelvi-8000
322267168214

wholesalesforever
131959432717

The Verified Rights Owner (VeRO) Program is designed to process reports of
intellectual property infringement. From the information provided, however,
the nature of intellectual property infringement you are attempting to
report is unclear. 

If you feel that these listings do infringe on your intellectual property
rights, please respond to this message and provide us with a more detailed
explanation.

If you'd like to report a stolen item, please go to:

 http://pages.ebay.com/help/policies/stolen.html

We look forward to hearing from you.

Sincerely,

VeRO Program
eBay


",e2M Listing,VeRO - CCR
37422,Infringement,"Date: 5 October 2016



eBay Inc.

Attn: eBay VeRO Program

2145 Hamilton Ave.

San Jose, CA 95125

Fax number: (408) 516-8811





Dear eBay:



I, the undersigned, state under penalty of perjury that:



- I am the owner, or an agent authorized to act on behalf of the owner, of certain intellectual property rights (""IP Owner"");

- I have a good faith belief that the listings identified (by item

number) in the addendum attached hereto offer items or contain materials that are not authorized by the IP Owner, its agent, or the law; and

- Please act expeditiously to remove the listings identified in the addendum.



I may be contacted at:

Name of IP Owner: RH Smith & Sons T/A Smiffys

Name and title: Sharon Lister, Para Legal

Company: RH Smith & Sons T/A Smiffys

Address:  Caldicot Drive, Heapham Road Industrial Estate

City, State, and Zip: Gainsborough, Lincs, DN21 1FJ, England

Email address (for correspondence with eBay): Intellectualproperty@smiffys.com<mailto:Intellectualproperty@smiffys.com>

Email address (to be given to eBay sellers): IntellectualProperty@smiffys.com<mailto:IntellectualProperty@smiffys.com>

Telephone: +44 1427 616831

Fax:



In addition to the undersigned, the following persons have the proper authority to sign future Notices of Claimed Infringement on behalf of the IP Owner:



Name: Sa",e2M Listing,VeRO - CCR
37423,,NULL,Specialty,Logistics - CCR
37424,eBay Mobile 5.3.0 iOS 9.3.4 - TW,"
Hi I need someone to help me with Case 5113566555 ,I can't accept the result ,and I'll try to explain why 
Device: iPhone (iPhone8,4)
OS: 9.3.4
App Version: 5.3.0
User ID: ibdgron@gmail.com
eBay Site: Taiwan


從我�?iPhone 傳�?,M2M Escalation""",Buyer Protect High ASP Claim,
37425,,NULL,Specialty,Logistics - CCR
37426,,"Dear Randy,

 

This are the pictures we have taken from the actual Subwoofer that the buyer sent to us. 

 

If you need anything else, please don’t hesitate to contact me or Dery Galeano through this email.

 

Thank you for your help,

Jan Dela Torre

 

310-436-7109

 

 

 

From: highvalueclaimsinfo@ebay.com [mailto:highvalueclaimsinfo@ebay.com] 
Sent: Thursday, October 6, 2016 10:27 AM
To: sharone@thexmarketing.com
Cc: customerservice229@techronics.com
Subject: Important Case (5115443051) Update from eBay customer support SR# 1-88255820532

 

Image removed by sender. eBay

Important Case (5115443051) Update from eBay customer support SR# 1-88255820532

 

Hello Jan,

 

It was a pleasure speaking to you today regarding cases 5112539357, 5112423647 and 5115443051. I have added the details below for each case and what to expect for next steps.

 

For case 5112539357; I need you to please send over photos of the wrong item that was sent back along with any other proof you can provide to us. Like we talked about, when I receive this, I will send it over for approval since you are part of the return pilot we offered you to be a part of. Again, I can’t promise anything right now since it’s outside the 30-day appeal time frame, but we will certainly do our best. 

 

Fro case 5112423647; I have submitted a courtesy be given",M2M Escalation,Buyer Protect High ASP Claim
37427,Wo ist meine Sendung?,"Sent:	2016-10-06 11:58:13.0

Subject:	Wo ist meine Sendung?

Artikelnummer eingeben:	131608724037

Geben Sie Ihre Transaktionsnummer ein:	1259479867003

Geben Sie Ihre Fragen oder Bedenken ein:	Hallo,ich habe mir 2 Hoodies in den USA bestellt. Hooded Sweatshirt Enjoy Being Catholic HoodieArtikelpreis39,14 EUR (+ 15,10 EUR für intern. Versand)Stückzahl2Artikelnummer131608724037VersandartInternational Priority ShippingVom Händler wurden 2 Pakete verschickt.Ein Paket ist angekommen, dass andere ist seit dem 1. September noch in den USA im Global Shipping Center:Donnerstag, 1. Sep. 2016 01:34 UhrERLANGER , KYArrived at Global Shipping CenterMittwoch, 31. Aug. 2016 23:25 UhrCINCINNATIPROCESSED THROUGH USPS FACILITYMittwoch, 31. Aug. 2016 23:25 UhrCINCINNATI , OHIn Transit-Arrived at USPS Destination FacilityMittwoch, 31. Aug. 2016 23:23 UhrCINCINNATIARRIVAL AT UNITMittwoch, 31. Aug. 2016 23:23 UhrCINCINNATI , OHIn Transit-Arrived at Post OfficeDienstag, 30. Aug. 2016 19:49 UhrANAHEIMPROCESSED THROUGH USPS FACILITYDienstag, 30. Aug. 2016 19:49 UhrANAHEIM , CAIn Transit-Arrived at USPS Origin FacilityDienstag, 30. Aug. 2016 18:34 UhrIRVINEORIGIN ACCEPTANCEDienstag, 30. Aug. 2016 18:34 UhrIRVINE , CAIn Transit-Accepted at USPS Origin FacilitySonntag, 28. Aug. 2016 07:32 UhrIRVINESHIPPING LABEL CREATEDSonntag, 28. Aug. 2016 03:30 UhrIRVINEPRE-SHIPMENT INFO SENT TO USPSIn der Übersicht ist bei ""Zustellung"" auch kein Häkchen gesetzt.Ich habe den Händler gebeten nochmal zu versc",Specialty,Logistics - CCR
37428,FW: Infringement,"
Dear Sirs

Please see below our request for eBay takedowns dated 26 September.  From a review of the listings today, we note that the listings are still live and would be grateful if you could please effect these takedowns as soon as possible.

Yours faithfully
R. H. Smith & Sons (Wigmakers) Limited

From: Intellectual Property
Sent: 26 September 2016 11:31
To: vero@ebay.co.uk
Subject: Infringement



Date: 26 September 2016



eBay Inc.

Attn: eBay VeRO Program

2145 Hamilton Ave.

San Jose, CA 95125

Fax number: (408) 516-8811





Dear eBay:



I, the undersigned, state under penalty of perjury that:



- I am the owner, or an agent authorized to act on behalf of the owner, of certain intellectual property rights (""IP Owner"");

- I have a good faith belief that the listings identified (by item

number) in the addendum attached hereto offer items or contain materials that are not authorized by the IP Owner, its agent, or the law; and

- Please act expeditiously to remove the listings identified in the addendum.



I may be contacted at:

Name of IP Owner: RH Smith & Sons T/A Smiffys

Name and title: Sharon Lister, Para Legal

Company: RH Smith & Sons T/A Smiffys

Address:  Caldicot Drive, Heapham Road Industrial Estate

City, State, and Zip: Gainsborough, Lincs, DN21 1FJ, England

Email address (for correspondenc",e2M Listing,VeRO - CCR
37429,Re: Missouri Archive,"Item being returned with Adult Signature Required, pursuant to EBay directions.


Tracking Number is 9468903699300002240509


Label attached.  Cost of insured postage: $33.20.



________________________________
From: Barbara Garofalo <nufsiyabe3116@gmail.com>
Sent: Wednesday, October 5, 2016 10:23:54 PM
To: Richard Law Orloski; highvalueclaimsinfo@ebay.com; Barbara Garofalo
Subject: Re: Missouri Archive

Re: Case 5115200761

Buyer:

Per eBay instructions, we have sent a PayPal payment to you in the amount of $22.35. This is only to be used for USPS shipping costs to return the 1921 Missouri archive back to us, sully insured for $1,030.00. Ship the archive insured to:

Garofalo
P. O. Box 720628
Norman, OK 73070

Upon receipt a refund will be issued.

Barbara Garofalo

On Thu, Sep 29, 2016 at 10:08 PM, Nufsiyabe3116 <nufsiyabe3116@gmail.com<mailto:nufsiyabe3116@gmail.com>> wrote:
This is Barbara. I am the person with whom you are dealing. I have no intention of fighting with you either.  You sent the coin to NGC. They gave you their opinion. They, as well as PCGS, offer their "" opinions "" for a fee. They stated ""unc details - improperly cleaned."" When I examined the coin, I saw absolutely  no cleaning whatsoever.

 I prefer to sell coins with their original holders, as originally sold, not in a slab. Is it possible I made a mistake - yes. I am hu",M2M Escalation,Buyer Protect High ASP Claim
37430,"GS=CU1193 | Escalating claim to CS, I received an item that is not as described [#US $US 100881T ?0",eBP Automation Request,M2M Escalation,Buyer Protect High ASP Claim
37431,,,Specialty,Logistics - CCR
37432,Appealing a case,"Sent:	2016-10-05 09:26:17.0

Subject:	Appealing a case

Enter your question / concern:	callback request

Send a copy to my email address.:	on",M2M Escalation,Buyer Protect High ASP Claim
37433,NOCI 1 breach of design,"Hi eBay

1st NOCI of today for breach of my design registration.

Thanks

Darren

Notice of Claimed Infringement - Statutory Declaration

eBay International A.G.

Attn: VeRO Programme

Fax: +442071530985

Date: October 5 2016

Dear eBay,

I, Darren Bowden of Rimblades Limited do solemnly and sincerely declare as follows:
I am the owner, or an agent authorised to act on behalf of the owner, of certain intellectual property rights (“IP Owner�?;
I have a good faith belief that the listings identified below (by item number) offer items or contain materials that are not authorised by the IP Owner, its agent, or the law, and therefore infringe the IP Owner’s rights according to English law; and
I make this declaration conscientiously believing it to be true and correct and in accordance with English law.

Rights owner: Darren Anthony Grant Bowden

Address of the rights owner: 88 Burge Meadow, Cotford St Luke, Taunton, Somerset, TA4 1QW

I may be contacted at: Rimblades Limited

Name and Title of the author of the Notice: Darren Bowden

Company of the author of the Notice: Rimblades Limited

Address: Bridge House, 14 Bridge St, Taunton, Somerset, TA1 1UB

email address (for communication with eBay): Darren@rimblades.com

email address (for communication with sellers)*: shop@rimblades.com

Telephone: 01823 432144

Fax: None

* please fill in",e2M Listing,VeRO - CCR
37434,,"Thank you for your attention to this case. I contacted the Louis Vuitton store to see if I could get a statement of authenticity and was told that isn't a service that any of their stores offer. 

While I wait for a returned phone call tomorrow regarding other options, I've attached pictures of the bag and the mailing box. The pictures point out the flaws in bag like, no interior tag with ""made in..."" on the side. The date tag coincides with the location on the bag. The labeling is printed on not stamped into the bag. The bag smells of a strong plastic scent. 

Once I received the bag, I used an article on eBay ""How to spot a fake Louis Vuitton bag date codes"" and it confirmed my suspicion. 

I will wait to hear back from an EBay specialist. 

Thank you!
Toi White

Sent using the mail.com mail app

On 10/6/16 at 6:26 PM, highvalueclaimsinfo@ebay.com wrote:

> Important Case (5114989803) Update: Your Action Required SR# 1-88281433488
> 
> 	
> Hello T. White,
>  
> Thank you for contacting us about the Louis Vuitton Neverfull GM (eBay item: 162206540297) that you recently purchased.  I’m sorry to hear that you’ve opened a claim because the bag is not authentic. We can see how concerning it would be to have to open a case. We want to work with you to ensure that this issue is resolved in a timely manner. We also appreciate your patience while we respond to your",M2M Escalation,Buyer Protect High ASP Claim
37435,Policy General,"Mi dirección es la correcta sin los interrogantes

El 6/10/2016 2:06, <customerhelp@ebay.co.uk> escribió:

> [image: eBay]
> Artículo de eBay que no se ha podido entregar a tu dirección - SR#
> 1-88173787798
>
>
> Hola alvdelcamp,
>
> Hemos tenido problemas para entregar tu pedido del artículo de eBay
> 182257225023 de end.of.the.line.scotland (ORA: A2311560822ES). Esto suele
> deberse a que la dirección o el número de teléfono están incompletos o no
> se reconocen.
>
> Revisa la dirección de entrega o el número de teléfono. La dirección a la
> que hemos intentado realizar la entrega es Pza. Camorritos n??2 ;4??
> izda.,,Madrid,Madrid,28027,Spain. El número de teléfono es 665601123.
>
> Si estos datos no son correctos, modifícalos aquí:
> http://payments.ebay.es/ws/eBayISAPI.dll?UserAddresses&cmd=standalone
>
> Nota: no podemos realizar envíos a un país distinto del que se indica en
> el anuncio. Tampoco realizamos envíos a apartados de correos o servicios de
> recogida de paquetes.
>
> --No es necesario que contactes con eBay después de actualizar la
> dirección.--
>
> Si la dirección de envío o el número de teléfono son los correctos,
> háznoslo saber contestando a este correo.
>
> Retendremos tu artículo durante 7 días mientras esperamos a que actualices
> tu dirección. Si no tenemos noticias tuyas antes de que transcurra ese
> plazo, nos d",Specialty,Logistics - CCR
